  PID  PPID  PGID   UID USER             STAT     ELAPSED COMMAND
    1     0     1     0 root             Ss   27-06:06:18 /sbin/launchd
  318     1   318     0 root             Ss   27-06:05:58 /usr/libexec/logd
  320     1   320     0 root             Ss   27-06:05:58 /usr/libexec/UserEventAgent (System)
  322     1   322     0 root             Ss   27-06:05:58 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
  323     1   323     0 root             Ss   27-06:05:58 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
  326     1   326     0 root             Ss   27-06:05:58 /usr/sbin/systemstats --daemon
  330     1   330     0 root             Ss   27-06:05:58 /usr/libexec/configd
  332     1   332     0 root             Ss   27-06:05:58 /System/Library/CoreServices/powerd.bundle/powerd
  333     1   333     0 root             Ss   27-06:05:58 /usr/libexec/IOMFB_bics_daemon
  337     1   337     0 root             Ss   27-06:05:58 /usr/libexec/remoted
  341     1   341   306 _corespeechd     Ss   27-06:05:58 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
  343     1   343     0 root             Ss   27-06:05:58 /usr/libexec/watchdogd
  347     1   347     0 root             Rs   27-06:05:58 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds
  349     1   349     0 root             Ss   27-06:05:58 /usr/libexec/kernelmanagerd
  350     1   350     0 root             Ss   27-06:05:58 /usr/libexec/diskarbitrationd
  354     1   354     0 root             Ss   27-06:05:58 /usr/sbin/syslogd
  356     1   356     0 root             Ss   27-06:05:58 /usr/libexec/thermalmonitord
  357     1   357     0 root             Ss   27-06:05:58 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
  360     1   360     0 root             Ss   27-06:05:58 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  361     1   361     0 root             Rs   27-06:05:58 /System/Library/CoreServices/launchservicesd
  362     1   362   266 _timed           Ss   27-06:05:58 /usr/libexec/timed
  363     1   363   213 _usbmuxd         Ss   27-06:05:58 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
  364     1   364     0 root             Ss   27-06:05:58 /usr/sbin/securityd -i
  366     1   366   205 _locationd       Rs   27-06:05:58 /usr/libexec/locationd
  369     1   369     0 root             Ss   27-06:05:58 autofsd
  370     1   370     0 root             Ss   27-06:05:58 /usr/libexec/dasd
  371     1   371     0 root             Ss   27-06:05:58 /usr/libexec/corerepaird
  373     1   373   241 _distnote        Ss   27-06:05:58 /usr/sbin/distnoted daemon
  377     1   377     0 root             Ss   27-06:05:58 /System/Library/CoreServices/logind
